,城市A,,,城市B,,,,城市C,,城市D,,,城市A的气象参数,,,
,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,mmhg,tem,rh,ws
2009/6/1,0.037 ,0.031 ,0.098 ,0.030 ,0.032 ,0.058 ,0.029 ,0.028 ,0.028 ,0.025 ,0.034 ,0.108 ,663.729,21.979,16.458,1.958
2009/6/2,0.034 ,0.027 ,0.067 ,0.034 ,0.032 ,0.060 ,0.029 ,0.024 ,0.059 ,0.028 ,0.028 ,0.094 ,660.125,22.167,18.5,1.479
2009/6/3,0.027 ,0.025 ,0.039 ,0.018 ,0.028 ,0.052 ,0.014 ,0.020 ,0.031 ,0.011 ,0.023 ,0.061 ,668.617,21.319,17.17,1.872
2009/6/4,0.040 ,0.035 ,0.067 ,0.039 ,0.042 ,0.065 ,0.047 ,0.033 ,0.033 ,0.036 ,0.045 ,0.090 ,665.625,20.667,18.708,0.938
2009/6/5,0.035 ,0.030 ,0.076 ,0.036 ,0.041 ,0.068 ,0.011 ,0.036 ,0.040 ,0.025 ,0.039 ,0.106 ,664.146,19.063,40.917,1.188
2009/6/6,0.027 ,0.021 ,0.056 ,0.025 ,0.030 ,0.041 ,0.000 ,0.000 ,0.000 ,0.010 ,0.025 ,0.080 ,669.167,21,41.563,1.354
2009/6/7,0.026 ,0.023 ,0.047 ,0.023 ,0.029 ,0.048 ,0.011 ,0.019 ,0.024 ,0.013 ,0.027 ,0.081 ,672.146,18.479,49.563,1.646
2009/6/8,0.026 ,0.023 ,0.061 ,0.017 ,0.028 ,0.050 ,0.007 ,0.021 ,0.037 ,0.014 ,0.027 ,0.070 ,671.5,19,61.146,1.729
2009/6/9,0.027 ,0.019 ,0.051 ,0.010 ,0.030 ,0.034 ,0.005 ,0.008 ,0.015 ,0.010 ,0.020 ,0.050 ,663.917,21.042,47.104,2
2009/6/10,0.025 ,0.018 ,0.038 ,0.009 ,0.023 ,0.024 ,0.005 ,0.014 ,0.011 ,0.009 ,0.015 ,0.037 ,666.146,16.979,51.813,1.667
2009/6/11,0.036 ,0.024 ,0.061 ,0.013 ,0.028 ,0.031 ,0.011 ,0.025 ,0.019 ,0.015 ,0.026 ,0.061 ,665.3,21,28,2.7
2009/6/12,0.028 ,0.017 ,0.055 ,0.016 ,0.027 ,0.034 ,0.006 ,0.013 ,0.017 ,0.011 ,0.021 ,0.062 ,664.25,21.458,23.375,2.417
2009/6/13,0.032 ,0.025 ,0.050 ,0.023 ,0.033 ,0.042 ,0.005 ,0.023 ,0.022 ,0.014 ,0.025 ,0.060 ,666.821,20.211,33.436,1.205
2009/6/14,0.035 ,0.019 ,0.049 ,0.051 ,0.040 ,0.046 ,0.014 ,0.028 ,0.029 ,0.016 ,0.025 ,0.061 ,669.167,22.063,34.396,1.146
2009/6/15,0.037 ,0.027 ,0.074 ,0.081 ,0.054 ,0.052 ,0.017 ,0.037 ,0.034 ,0.019 ,0.041 ,0.082 ,668.667,21.563,39.563,1.208
2009/6/16,0.044 ,0.031 ,0.128 ,0.100 ,0.062 ,0.094 ,0.013 ,0.036 ,0.077 ,0.019 ,0.047 ,0.136 ,673.521,24.104,46.021,1.333
2009/6/17,0.029 ,0.029 ,0.102 ,0.019 ,0.041 ,0.071 ,0.003 ,0.048 ,0.067 ,0.005 ,0.040 ,0.111 ,671.75,18.854,76.771,1.146
2009/6/18,0.033 ,0.026 ,0.085 ,0.019 ,0.031 ,0.059 ,0.006 ,0.031 ,0.060 ,0.005 ,0.030 ,0.094 ,675.256,24.205,51.667,2.026
2009/6/19,0.031 ,0.023 ,0.095 ,0.009 ,0.023 ,0.054 ,0.004 ,0.032 ,0.053 ,0.003 ,0.022 ,0.078 ,663.891,20.761,69.13,1.644
2009/6/20,0.045 ,0.023 ,0.129 ,0.017 ,0.029 ,0.084 ,0.017 ,0.023 ,0.057 ,0.022 ,0.034 ,0.158 ,662.378,20.289,22.511,1.8
2009/6/21,0.032 ,0.022 ,0.105 ,0.011 ,0.026 ,0.066 ,0.009 ,0.015 ,0.050 ,0.014 ,0.026 ,0.123 ,659.021,24.146,21.104,2.438
2009/6/22,0.033 ,0.021 ,0.068 ,0.020 ,0.022 ,0.047 ,0.021 ,0.025 ,0.029 ,0.018 ,0.022 ,0.085 ,662.813,18.167,28.542,1.521
2009/6/23,0.033 ,0.024 ,0.075 ,0.018 ,0.029 ,0.043 ,0.016 ,0.020 ,0.028 ,0.016 ,0.027 ,0.071 ,661.792,23.208,24.063,1.404
2009/6/24,0.056 ,0.035 ,0.100 ,0.036 ,0.038 ,0.048 ,0.042 ,0.033 ,0.033 ,0.033 ,0.040 ,0.125 ,663.447,24.213,25.277,1.149
2009/6/25,0.059 ,0.041 ,0.101 ,0.045 ,0.051 ,0.089 ,0.077 ,0.046 ,0.054 ,0.032 ,0.047 ,0.118 ,658.958,28.167,15.583,1.646
2009/6/26,0.065 ,0.049 ,0.148 ,0.081 ,0.052 ,0.127 ,0.054 ,0.055 ,0.084 ,0.037 ,0.000 ,0.157 ,666.583,28.625,21.771,1.521
2009/6/27,0.051 ,0.030 ,0.068 ,0.029 ,0.039 ,0.052 ,0.013 ,0.032 ,0.054 ,0.010 ,0.032 ,0.079 ,668.875,24.958,46.167,1.563
2009/6/28,0.044 ,0.021 ,0.101 ,0.010 ,0.026 ,0.081 ,0.030 ,0.018 ,0.062 ,0.014 ,0.014 ,0.128 ,657.646,24.938,17.271,2.375
2009/6/29,0.066 ,0.024 ,0.062 ,0.011 ,0.032 ,0.049 ,0.017 ,0.018 ,0.022 ,0.017 ,0.027 ,0.079 ,654.792,24.083,15.417,1.809
2009/6/30,0.035 ,0.018 ,0.053 ,0.008 ,0.023 ,0.049 ,0.008 ,0.009 ,0.021 ,0.009 ,0.004 ,0.045 ,659.692,22.154,31.282,2.359
2009/7/1,0.052 ,0.023 ,0.038 ,0.046 ,0.025 ,0.042 ,0.019 ,0.013 ,0.020 ,0.024 ,0.014 ,0.060 ,663.708,22.042,33.188,1.766
2009/7/2,0.045 ,0.025 ,0.030 ,0.056 ,0.028 ,0.038 ,0.025 ,0.017 ,0.020 ,0.023 ,0.016 ,0.050 ,664.6,23.467,30,1.733
2009/7/3,0.057 ,0.034 ,0.063 ,0.061 ,0.041 ,0.050 ,0.063 ,0.031 ,0.030 ,0.019 ,0.027 ,0.082 ,664.333,26.063,26.688,1.167
2009/7/4,0.076 ,0.043 ,0.093 ,0.094 ,0.055 ,0.081 ,0.030 ,0.047 ,0.049 ,0.027 ,0.058 ,0.035 ,671.083,28.688,27.396,1.125
2009/7/5,0.073 ,0.036 ,0.089 ,0.000 ,0.067 ,0.085 ,0.020 ,0.021 ,0.058 ,0.020 ,0.025 ,0.000 ,668.917,26.292,41.771,1.813
2009/7/6,0.056 ,0.028 ,0.077 ,0.000 ,0.057 ,0.073 ,0.009 ,0.020 ,0.040 ,0.013 ,0.019 ,0.000 ,667.854,23.104,55.479,1.354
2009/7/7,0.070 ,0.031 ,0.051 ,0.035 ,0.037 ,0.045 ,0.031 ,0.029 ,0.025 ,0.024 ,0.031 ,0.092 ,666.417,25.813,26.167,1.188
2009/7/8,0.049 ,0.029 ,0.061 ,0.019 ,0.028 ,0.044 ,0.013 ,0.024 ,0.033 ,0.008 ,0.028 ,0.056 ,667.625,23.208,57.333,1.25
2009/7/9,0.034 ,0.026 ,0.041 ,0.019 ,0.031 ,0.041 ,0.004 ,0.032 ,0.018 ,0.007 ,0.031 ,0.051 ,665.208,17.75,74.271,1.021
2009/7/10,0.037 ,0.040 ,0.096 ,0.038 ,0.050 ,0.073 ,0.013 ,0.052 ,0.032 ,0.020 ,0.057 ,0.130 ,663.5,25.25,43.021,0.875
2009/7/11,0.026 ,0.027 ,0.058 ,0.028 ,0.030 ,0.044 ,0.000 ,0.000 ,0.000 ,0.012 ,0.035 ,0.047 ,668.063,25.125,46.229,1.458
2009/7/12,0.023 ,0.029 ,0.065 ,0.066 ,0.027 ,0.050 ,0.011 ,0.042 ,0.035 ,0.009 ,0.034 ,0.045 ,671.646,24.208,50.563,1.563
2009/7/13,0.034 ,0.031 ,0.079 ,0.091 ,0.038 ,0.066 ,0.023 ,0.035 ,0.031 ,0.028 ,0.044 ,0.100 ,663.479,26.688,32.708,1.771
2009/7/14,0.022 ,0.028 ,0.050 ,0.071 ,0.033 ,0.040 ,0.003 ,0.046 ,0.029 ,0.004 ,0.033 ,0.038 ,663.021,19.708,74.188,1.021
2009/7/15,0.032 ,0.043 ,0.063 ,0.049 ,0.046 ,0.056 ,0.011 ,0.032 ,0.015 ,0.017 ,0.048 ,0.070 ,665.851,25.085,34.596,1.149
2009/7/16,0.033 ,0.035 ,0.078 ,0.011 ,0.031 ,0.057 ,0.006 ,0.034 ,0.034 ,0.005 ,0.041 ,0.064 ,667.271,24.521,54.146,1.354
2009/7/17,0.024 ,0.031 ,0.057 ,0.004 ,0.032 ,0.055 ,0.004 ,0.019 ,0.037 ,0.003 ,0.036 ,0.032 ,670.333,20.063,88.208,0.729
2009/7/18,0.029 ,0.030 ,0.040 ,0.006 ,0.032 ,0.040 ,0.004 ,0.015 ,0.024 ,0.004 ,0.029 ,0.021 ,667.447,19.255,86.191,1.277
2009/7/19,0.024 ,0.052 ,0.109 ,0.010 ,0.050 ,0.078 ,0.004 ,0.031 ,0.033 ,0.006 ,0.060 ,0.099 ,663.917,25.583,63.458,1.125
2009/7/20,0.022 ,0.026 ,0.052 ,0.027 ,0.028 ,0.046 ,0.003 ,0.012 ,0.031 ,0.013 ,0.027 ,0.035 ,664.396,23.917,64.792,1.021
2009/7/21,0.030 ,0.043 ,0.068 ,0.063 ,0.045 ,0.069 ,0.013 ,0.049 ,0.031 ,0.023 ,0.056 ,0.000 ,666.479,26.25,47.938,0.896
2009/7/22,0.041 ,0.037 ,0.075 ,0.039 ,0.036 ,0.044 ,0.018 ,0.037 ,0.020 ,0.021 ,0.047 ,0.064 ,664.026,28.897,30.718,0.974
2009/7/23,0.068 ,0.036 ,0.060 ,0.061 ,0.031 ,0.047 ,0.013 ,0.038 ,0.032 ,0.014 ,0.038 ,0.054 ,665,24.896,44.521,1.063
2009/7/24,0.024 ,0.028 ,0.041 ,0.059 ,0.022 ,0.033 ,0.011 ,0.018 ,0.022 ,0.013 ,0.022 ,0.042 ,664.271,24.354,44.042,1.646
2009/7/25,0.022 ,0.025 ,0.037 ,0.057 ,0.021 ,0.027 ,0.004 ,0.018 ,0.013 ,0.012 ,0.018 ,0.029 ,670.761,20.63,55.957,2.043